"application_id","organization_id","provider_id","snapshot_date_id","applicationcode","fullresourcescount","devresourcescount","qaresourcescount","pdnresourcescount","fullaccountscount","devaccountscount","qaaccountscount","pdnaccountscount","redsecuritycheckscount","redsecurityresourcescount","yellowsecuritycheckscount","yellowsecurityresourcescount","redfaulttolerancecheckscount","redfaulttoleranceresourcescount","yellowfaulttolerancecheckscount","yellowfaulttoleranceresourcescount","redperformancecheckscount","redperformanceresourcescount","yellowperformancecheckscount","yellowperformanceresourcescount","redcostoptimizingcheckscount","redcostoptimizingresourcescount","yellowcostoptimizingcheckscount","yellowcostoptimizingresourcescount","ppn_tm"
"349","1","1","20231007","app00349","126","48","52","26","3","1","1","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"350","1","1","20231007","app00350","146","49","31","66","3","1","1","1","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"352","1","1","20231007","app00352","8","8","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"404","1","1","20231007","app00404","159","49","49","61","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"402","1","1","20231007","app00402","3","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"406","1","1","20231007","app00406","686","157","249","280","4","2","1","1","1","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"409","1","1","20231007","app00409","8","6","2","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"407","1","1","20231007","app00407","121","52","0","69","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"401","1","1","20231007","app00401","186","77","39","70","3","1","1","1","1","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"412","1","1","20231007","app00412","15","15","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"410","1","1","20231007","app00410","2","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"405","1","1","20231007","app00405","8","8","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"222","1","1","20231007","app00222","293","88","82","123","4","2","1","1","2","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"223","1","1","20231007","app00223","485","71","244","170","7","2","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"218","1","1","20231007","app00218","16","5","5","6","15","5","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"220","1","1","20231007","app00220","71","12","12","47","3","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"228","1","1","20231007","app00228","4","2","2","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"230","1","1","20231007","app00230","5","5","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"219","1","1","20231007","app00219","168","56","37","75","5","1","1","3","1","1","1","4","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"104","1","1","20231007","app00104","25","8","0","17","2","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"100","1","1","20231007","app00100","25","9","8","8","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
"96","1","1","20231007","app00096","135","135","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2023-10-07 08:24:57.916000"
